"<strong style=""color:red"">Warning</strong>: Shipping Origin should be configured to use this method.","<strong style=""color:red"">Aviso</strong>: Origem do envio deve ser configurado para usar este método."
"Anti-Fraud Methods","Métodos de Antifraude"
"Test/Production Mode","Modo Teste ou Produção"
"Shipping Methods","Métodos de Entrega"
"Order status: payment authorisation","Status do pedido: autorização de pagamento"
"Shipping Address","Endereço de entrega"
"Billing Address","Endereço de cobrança"
"Shipping Method","Método de envio"
"Payment Method","Método de pagamento"
"Additional","Informação Adicional"
"Order Created","Pedido criado"
"Payment Authorization","Pagamento autorizado"
"Separated Order","Em separação"
"Product in Transportation","Em transporte"
"Product Delivered","Enviado ou Entregue"
"In progress","Em progresso"
"Item in your order","Item no seu pedido"
"Please fill api key, client id and client secret fields and save to have the token link","Por favor preencha os campos: Api key, Client id e Client secret e Salve para obter o link do token"
"Use this link to get the token: <a target=""_blank"" href=""%s""=>link</a>.","Utilize este link para obter o token:  <a target=""_blank"" href=""%s""=>link</a>."
"Empty this field and save to reset authentication","Esvazie este campo e salve para redefinir a autenticação"
